user,date,post
avskk,"October 24, 2018 2:32PM","['autumn', 'fully', 'arrived', 'cooking', 'breakfast', 'toaster', 'waffle', 'yogurt', 'butter', 'syrup', 'fried', 'ham', 'coffee', 'lunch', 'leftover', 'chili', 'cheese', 'sour', 'cream', 'corn', 'chip', 'fairly', 'small', 'portion', 'light', 'still', 'hungry', 'broccoli', 'baby', 'carrot', 'cherry', 'tomato', 'dinner', 'leftover', 'vegetableloaded', 'chickentortellini', 'soup', 'snack', 'clementine', 'grape', 'pomegranate']"
janejellyroll,"October 24, 2018 2:37PM","['breakfast', 'chinese', 'sticky', 'rice', 'tempeh', 'sausage', 'cucumber', 'salad', 'lunch', 'going', 'lunch', 'coworkers', 'probably', 'black', 'bean', 'burger', 'guacamole', 'fruit', 'salad', 'dinner', 'lettuce', 'basil', 'mint', 'radish', 'thaistyle', 'dressing', 'sweet', 'potato', 'stew', 'love', 'autumn', 'cooking', 'got', 'butternut', 'squash', 'csa', 'box', 'thinking', 'want', 'weekend', 'thinking', 'maybe', 'roasted', 'butternut', 'squash', 'risotto']"
firlena227,"October 24, 2018 4:07PM","['ooh', 'love', 'butternut', 'squash', 'risotto', 'apart', 'chopping', 'butternut', 'squash', 'part', 'nt', 'made', 'age', 'definitely', 'going', 'next', 'week', 'menu', 'breakfast', 'crumpet', 'banana', 'lunch', 'cheese', 'shallot', 'toastie', 'apple', 'dinner', 'jacket', 'potato', 'bean', 'inspiring', 'food', 'day', 'today']"
amy19355,"November 2, 2018 3:30PM","['low', 'sodium', 'chicken', 'wild', 'rice', 'soup', 'added', '12', 'cup', 'brown', 'rice', 'side', 'crunchy', 'raw', 'organic', 'carrot']"
Sunshine_And_Sand,"November 2, 2018 3:38PM","['breakfast', 'zoats', 'melted', 'american', 'cheese', 'salt', 'pepper', 'lunch', 'amy', 'organic', 'tortilla', 'casserole', 'black', 'bean', 'microwave', 'dinner', 'rest', 'zucchini', 'breakfast', 'mixed', 'added', 'volume', 'dinner', '1', 'oz', 'pasta', 'roasted', 'orange', 'bell', 'pepper', 'steamed', 'corn', 'andor', 'pea', 'ounce', 'shredded', 'cheese', 'side', 'steamed', 'asparagus', 'buy', 'microwave', 'steam', 'bag', 'asparagus', 'dh', 'usually', 'eat', 'whole', 'bag', 'snack', 'sure', 'yet', 'thinking', 'trying', 'angel', 'food', 'cake', 'recipe', 'found', 'yesterday']"
avskk,"November 2, 2018 4:42PM","['today', 'going', 'good', 'carby', 'day', 'think', 'breakfast', '23', 'carrot', 'muffin', 'amazing', 'cottage', 'cheese', 'peach', 'bellini', 'jam', 'coffee', 'lunch', 'turkey', 'cheddar', 'sandwich', 'greenchili', 'sourdough', 'double', 'amazing', 'suspect', 'also', 'eat', 'least', 'one', 'slice', 'bread', 'topped', 'thin', 'slice', 'cheese', 'baby', 'carrot', 'cherry', 'tomato', 'side', 'dinner', 'either', 'leftover', 'spanish', 'rice', 'chickpea', 'artichoke', 'heart', 'green', 'let', 'honest', 'fancy', 'bread', 'cheese', 'turkey', 'token', 'side', 'green', 'bean', 'broccoli']"
MelanieCN77,"November 3, 2018 2:00PM","['breakfast', 'home', 'made', 'plain', 'yoghurt', 'blueberry', 'strawberry', 'handful', 'kashi', 'granola', 'two', 'cup', 'coffee', 'post', 'run', 'snack', 'bunch', 'tangerine', 'lunch', 'sausage', 'bell', 'pepper', 'baked', 'oven', 'pita', 'might', 'add', 'sweet', 'potato', 'see', 'snack', 'tub', 'carrot', 'cheese', 'grape', 'nut', 'cracker', 'dinner', 'getting', 'home', 'late', 'side', 'crazy', 'hungry', 'might', 'pick', 'something', 'hell', 'cals', 'today', 'thinking', 'tostada', 'salad', 'quesadilla', 'el', 'pollo', 'loco', 'week', 'lol', 'make', 'home', 'discipline', 'intact', 'microwave', 'rice', 'frozen', 'gyoza', 'broccoli', 'late', 'night', 'munchies', 'week', 'instead', 'halo', 'top', 'whatever', 'colder', 'enjoying', 'little', 'bowl', 'sliced', 'apple', 'walnut', 'cashew', 'couple', 'chunk', 'parmesan', 'cracker']"
nicsflyingcircus,"November 3, 2018 4:31PM","['breakfast', 'protein', 'plate', 'local', 'diner', '4', 'scrambled', 'egg', '3', 'piece', 'bacon', '2', 'slice', 'canadian', 'bacon', 'could', 'eat', 'half', 'egg', 'lol', 'supper', 'grilled', 'cheese', 'cauliflower', 'sandwich', 'thins', 'stuffed', 'full', 'garlic', 'pepper', 'ham', 'little', 'bacon', 'provolone', 'cheddar', 'nice', 'big', 'salad', 'balsamic', 'vinaigrette']"
MelanieCN77,"November 3, 2018 5:10PM","['ok', 'well', 'nice', 'plan', 'went', 'window', '10am', 'roast', 'beef', 'sandwich', 'cracker', 'runger', 'real']"
rainingribbons,"November 3, 2018 8:01PM","['breakfast', '2', 'homemade', 'cinnamon', 'roll', 'morning', 'snack', 'another', 'cinnamon', 'roll', 'late', 'lunchearly', 'dinner', 'roast', 'baked', 'mac', 'cheese', 'mashed', 'potato', 'smidgen', 'mushroom', 'gravy', 'grilled', 'green', 'bean', 'probably', 'also', 'beer', 'dessert', 'might', 'slice', 'vanilla', 'raspberry', 'cake', 'without', 'icing', 'cheat', 'day', 'today', 'part', 'tomorrow', 'bf', 'away', 'weekend', 'staying', 'friend', 'gunna', 'get', 'back', 'track', 'monday']"
