user,date,post
JennJ323,"April 2, 2019 3:12PM","['breakfast', '2', 'turkey', 'sausage', 'link', 'hard', 'boiled', 'egg', 'lunch', 'pineapple', 'chicken', 'brown', 'rice', 'afternoon', 'snack', 'fresh', 'pineapple', 'dinner', 'apple', 'cinnamon', 'roll', 'breakfast', 'casserole', 'bacon', 'strawberry', 'pineapple', 'fruit', 'salad']"
lalee115,"April 2, 2019 3:16PM","['jennj323', 'wrote', 'breakfast', '2', 'turkey', 'sausage', 'link', 'hard', 'boiled', 'egg', 'lunch', 'pineapple', 'chicken', 'brown', 'rice', 'afternoon', 'snack', 'fresh', 'pineapple', 'dinner', 'apple', 'cinnamon', 'roll', 'breakfast', 'casserole', 'bacon', 'strawberry', 'pineapple', 'fruit', 'salad', 'please', 'enlighten', 'apple', 'cinnamon', 'roll', 'breakfast', 'casserole']"
my3sons527,"April 2, 2019 11:17PM","['b', 'jimmy', 'dean', 'delight', 'raspberry', 'l', 'huge', 'grilled', 'chicken', 'salad', 'sugar', 'free', 'jello', 'grilled', 'chicken', 'parmesan']"
JennJ323,"April 4, 2019 7:07PM","['lalee115', 'wrote', 'jennj323', 'wrote', 'breakfast', '2', 'turkey', 'sausage', 'link', 'hard', 'boiled', 'egg', 'lunch', 'pineapple', 'chicken', 'brown', 'rice', 'afternoon', 'snack', 'fresh', 'pineapple', 'dinner', 'apple', 'cinnamon', 'roll', 'breakfast', 'casserole', 'bacon', 'strawberry', 'pineapple', 'fruit', 'salad', 'please', 'enlighten', 'apple', 'cinnamon', 'roll', 'breakfast', 'casserole', 'http', 'wwwthepinningmamacomapplebreakfastcasserole', 'good', 'overcooked', 'cut', 'recipe', 'half', 'cooking', 'time', 'would', 'make', 'cut', 'time']"
seltzermint555,"April 4, 2019 7:50PM","['breakfast', '3', 'oz', 'blackberry', '12', 'avocado', 'wheat', 'toast', 'coffee', 'lunch', 'tuna', 'salad', 'lettuce', 'pecan', 'green', 'onion', '12', 'small', 'baked', 'potato', 'butter', 'smoothie', 'made', 'unsweetened', 'almond', 'milk', 'fresh', 'pineapple', '1', 'banana', 'hemp', 'protein', '12', 'navel', 'orange', 'dinner', 'pineapple', 'fried', 'rice', 'raisin', 'green', 'onion', 'ton', 'veggie']"
Angiepup,"April 4, 2019 11:34PM","['breakfast', '14', 'c', 'superfood', 'granola', '033', 'serving', 'lily', 'dark', 'chocolate', 'almond', '2', 'metrex', 'cookie', 'bite', 'lunchdinner', 'since', 'work', 'overnights', 'turkey', 'meat', 'sauce', 'zoodles', 'sf', 'chai', 'almondcashew', 'milk', 'snack1', 'work', 'sf', 'chatila', 'pumpkin', 'donut', '1', 'meterx', 'cookie', 'bite', '033', 'package', 'cheddar', 'whisps', 'nibble', 'korean', 'bbq', 'jerky', 'thin', 'slim', 'muffin', 'snack', '2', 'couple', 'hour', 'cow', 'protein', 'bar', '1', 'clementine', 'trying', 'take', '510', 'lb']"
JeromeBarry1,"April 4, 2019 11:48PM","['breakfast', '1', 'cup', 'coffee', '10', 'g', 'mct', 'powder', '1', 'cup', 'coffee', '15', 'g', 'heavy', 'cream', '48', 'g', 'pork', 'jowl', 'bacon', '5', 'g', 'quinoa', '5', 'g', 'chia', '4', 'g', 'nopalina', '29', 'g', 'spinach', '146', 'g', 'whole', 'egg', '3', 'large', '10', 'g', 'tabasco', 'sauce', '1', 'oz', 'cottage', 'cheese', '1', 'oz', 'mexican', 'white', 'cheese', 'snack', '1', 'oz', 'mixed', 'nut', '2', 'sugarfree', 'coffeeflavored', 'caramel', 'dinner', '2', 'big', 'sausage', '85', 'g', 'broccoli', 'slaw', '15', 'g', 'bleu', 'cheese', 'dressing', 'done', 'exercise', 'today', 'got', 'room', 'calorie', 'budget', '2', 'sugarfree', 'caramel', 'leave', 'gram', 'short', 'protein', 'ranger', 'west', 'coast', 'tonight', 'might', 'decide', 'cardio', 'watching', 'giving', 'room', 'protein', 'maybe', '5', 'carbs', 'far']"
JessAndreia,"April 5, 2019 12:22AM","['vegan', 'cheese', 'ham', 'sandwich', 'two', 'hashbrowns', 'quinoa', 'salad', 'chickpea', 'cherry', 'tomato', 'cucumber', 'cashew', 'cheese', 'coffee', 'cinnamon', 'muffin', 'beyond', 'sausage', 'w', 'banana', 'rice', 'red', 'bean', 'cabbage']"
my3sons527,"April 5, 2019 2:17AM","['b', 'hungry', 'l', 'popeyes', 'blackened', 'chicken', 'tender', 'green', 'bean', 'mashed', 'potato', 'gravy', 'halo', 'hamburger', 'fry', '2', 'chocolate', 'chip', 'cooky']"
Sanriohippie,"April 5, 2019 9:20PM","['breakfast', 'egg', 'white', 'scramble', 'soy', 'chorizo', 'lunch', 'breakfast', 'veggie', 'tacoshalf', 'potato', 'dinner', 'veggie', 'puff', 'pastry', 'pizza']"
seltzermint555,"April 6, 2019 3:25AM","['breakfast', 'oatmeal', 'peanut', 'butter', 'raspberry', 'jam', 'coffee', 'lunch', 'large', 'baked', 'potato', 'seasoned', 'tvp', 'sauteed', 'onion', 'red', 'pepper', 'broccoli', 'sour', 'cream', 'dinner', 'panseared', 'tofu', 'bbq', 'sauce', 'homemade', 'pasta', 'salad', 'onion', 'black', 'olive', 'kale', 'argula', 'later', '3', 'cotton', 'candy', 'flavored', 'peep', '14', 'burger', 'king', 'chicken', 'sandwich']"
JennJ323,"April 8, 2019 7:21PM","['breakfast', 'toasted', 'coconut', 'vanilla', 'greek', 'yogurt', 'lunch', 'homemade', 'white', 'chicken', 'chili', 'small', 'side', 'salad', 'spring', 'mix', 'balsamic', 'vinaigrette', 'afternoon', 'snack', 'fiber', 'cinnamon', 'coffee', 'cake', 'soft', 'baked', 'bar', 'grape', 'dinner', 'chicken', 'alfredo', 'broccoli', 'bubble', 'bake', 'le', '300c', 'per', 'serving', 'hope', 'good', 'recipe', 'want', 'http', 'emilybitescom201709bubbleupchickenalfredobakehtml', 'dinner', 'snack', 'neapolitan', 'ice', 'cream']"
rainingribbons,"April 8, 2019 11:41PM","['breakfast', 'coffee', 'creamer', 'homemade', 'breakfast', 'sammich', 'lunch', 'pulled', 'pork', 'sammich', 'roasted', 'broccoli', 'snack', '2', 'cutie', 'halo', 'dinner', 'shrimp', 'feta', 'tomato', 'bake', 'parmesan', 'couscous', '1', 'sopporo']"
soliver1999,"April 9, 2019 12:01AM","['breakfast', '8oz', 'bottle', 'water', '10', 'oz', 'cup', 'coffee', '18', 'cup', 'cream', '4', 'splendas', '3', 'piece', 'bacon', '2', 'egg', 'cheese', 'milk', 'make', 'fluffy', 'snack', 'whisps', 'moon', 'cheese', '8', 'oz', 'bottle', 'water', 'lunch', 'sometimes', '8oz', 'bottle', 'water', 'grilled', 'chicken', 'nugget', 'chick', 'fil', 'cob', 'salad', 'grilled', 'nugget', 'already', 'yes', '2', 'portion', 'chicken', '1', 'packet', 'ranch', 'salad', 'dressing', 'dinner', '8oz', 'bottle', 'water', '4', 'oz', 'grilled', 'steak', 'chicken', '14', 'avocado', '1', 'tbsp', 'sour', 'cream', '1', 'tsp', 'salasa', '14', 'cup', 'shredded', 'mexican', 'cheese', 'heat', 'mix', 'together', 'snack', 'glass', 'milk', '4oz', 'fatsnax', 'cookie', 'peanut', 'butter', 'right', 'bed', '8oz', 'bottle', 'water']"
seltzermint555,"April 9, 2019 2:08PM","['breakfast', 'coffee', 'acai', 'bowl', 'strawberry', 'banana', 'coconut', 'flake', 'granola', 'blueberry', 'lunch', 'spinach', 'quesadilla', 'onion', 'pepper', 'topped', 'salsa', 'sour', 'cream', 'dinner', 'chickpea', 'veggie', 'curry', 'brown', 'rice']"
